"","WORKDAY","MONTHWEEK","WEEKDAY","MONTHDAY","MONTH","YEAR","BEFVAC","AFTVAC","BEFCHR","AFTCHR","WHSLINES","forecastlines","delta","error_rate","error_rate_abs"
"1",2,1,6,2,1,2015,0,0,0,0,29694,36507.5078125,6813.5078125,0.229457392486698,0.229457392486698
"6",7,1,6,9,1,2015,0,0,0,0,23329,23655.447265625,326.447265625,0.0139931958345836,0.0139931958345836
"9",10,2,4,14,1,2015,0,0,0,0,27868,27877.314453125,9.314453125,0.000334234718135496,0.000334234718135496
"10",11,2,5,15,1,2015,0,0,0,0,23149,22992.06640625,-156.93359375,-0.00677928177243077,0.00677928177243077
"17",18,4,2,26,1,2015,0,0,0,0,23601,24616.90234375,1015.90234375,0.043044885545104,0.043044885545104
"19",20,4,4,28,1,2015,0,0,0,0,25856,26347.68359375,491.68359375,0.0190162280998608,0.0190162280998608
"31",10,2,6,13,2,2015,0,0,0,0,22152,21829.509765625,-322.490234375,-0.0145580640292073,0.0145580640292073
"36",15,3,6,20,2,2015,0,0,0,0,18665,19707.994140625,1042.994140625,0.0558796753616394,0.0558796753616394
"37",16,4,2,23,2,2015,0,0,0,0,23453,24708.03515625,1255.03515625,0.0535127768835543,0.0535127768835543
"45",4,1,5,5,3,2015,0,0,0,0,25698,25863.330078125,165.330078125,0.00643357763736478,0.00643357763736478
"47",6,2,2,9,3,2015,0,0,0,0,30262,28243.15234375,-2018.84765625,-0.0667123011119556,0.0667123011119556
"58",18,4,4,25,3,2015,0,0,0,0,26195,26474.67578125,279.67578125,0.0106766856747471,0.0106766856747471
"61",21,5,2,30,3,2015,0,0,0,0,21785,25076.00390625,3291.00390625,0.151067427415653,0.151067427415653
"78",16,4,4,22,4,2015,0,0,0,0,26313,26702.95703125,389.95703125,0.0148199381009387,0.0148199381009387
"84",22,5,5,30,4,2015,0,0,0,0,25009,21501.60546875,-3507.39453125,-0.14024529294454,0.14024529294454
"86",2,1,2,4,5,2015,0,0,0,0,38823,39649.9609375,826.9609375,0.0213007994616593,0.0213007994616593
"91",7,2,2,11,5,2015,0,0,0,0,26238,29063.54296875,2825.54296875,0.107688961382346,0.107688961382346
"94",10,2,5,14,5,2015,0,0,0,0,25294,23008.82421875,-2285.17578125,-0.0903445790009488,0.0903445790009488
"105",3,1,4,3,6,2015,0,0,0,0,37893,34006.52734375,-3886.47265625,-0.102564395963634,0.102564395963634
"115",13,3,4,17,6,2015,0,0,0,0,26826,27285.41796875,459.41796875,0.0171258468929397,0.0171258468929397
"122",21,5,2,29,6,2015,0,0,0,0,22717,25120.18359375,2403.18359375,0.105787894253202,0.105787894253202
"128",8,2,6,10,7,2015,0,0,0,0,19863,21735.837890625,1872.837890625,0.0942877657264764,0.0942877657264764
"130",10,3,3,14,7,2015,0,0,0,0,30131,29668.798828125,-462.201171875,-0.0153397222752315,0.0153397222752315
"136",16,4,4,22,7,2015,0,0,0,0,26538,27548.26953125,1010.26953125,0.0380687893303942,0.0380687893303942
"144",1,1,2,3,8,2015,0,0,0,0,40139,37285.78515625,-2853.21484375,-0.0710833564301552,0.0710833564301552
"159",16,4,2,24,8,2015,0,0,0,0,26694,26229.05078125,-464.94921875,-0.017417742517045,0.017417742517045
"161",18,4,4,26,8,2015,0,0,0,0,27192,27468.03515625,276.03515625,0.0101513370200794,0.0101513370200794
"163",20,4,6,28,8,2015,0,0,0,0,19270,20458.228515625,1188.228515625,0.0616620921445252,0.0616620921445252
"164",21,5,2,31,8,2015,0,0,0,0,26380,25652.41015625,-727.58984375,-0.0275811161391205,0.0275811161391205
"165",1,1,3,1,9,2015,0,0,0,0,42702,39788.87109375,-2913.12890625,-0.0682199640824786,0.0682199640824786
"167",3,1,5,3,9,2015,0,0,0,0,35257,31857.8984375,-3399.1015625,-0.0964092680176986,0.0964092680176986
"171",10,3,2,14,9,2015,0,0,0,0,29029,28372.626953125,-656.373046875,-0.0226109423981191,0.0226109423981191
"178",17,4,4,23,9,2015,0,0,0,0,25808,27993.26953125,2185.26953125,0.0846741138891042,0.0846741138891042
"179",18,4,5,24,9,2015,0,0,0,0,23423,22629.92578125,-793.07421875,-0.0338587806322845,0.0338587806322845
"183",22,5,4,30,9,2015,0,0,0,0,26785,27035.57421875,250.57421875,0.00935502030054135,0.00935502030054135
"185",2,1,6,2,10,2015,0,0,0,0,33813,32965.91015625,-847.08984375,-0.0250521942374235,0.0250521942374235
"191",8,2,2,12,10,2015,0,0,0,0,26356,28321.533203125,1965.533203125,0.0745763091184171,0.0745763091184171
"193",10,2,4,14,10,2015,0,0,0,0,27649,29049.853515625,1400.853515625,0.0506656123413143,0.0506656123413143
"195",12,2,6,16,10,2015,0,0,0,0,24209,22084.822265625,-2124.177734375,-0.0877433076283614,0.0877433076283614
"202",19,4,3,27,10,2015,0,0,0,0,27688,27970.92578125,282.92578125,0.0102183538446258,0.0102183538446258
"208",3,1,4,4,11,2015,0,0,0,0,34654,35475.78125,821.78125,0.0237138930570785,0.0237138930570785
"210",5,1,6,6,11,2015,0,0,0,0,25438,23917.564453125,-1520.435546875,-0.0597702471450193,0.0597702471450193
"218",13,3,4,18,11,2015,0,0,0,0,31165,28351.00390625,-2813.99609375,-0.0902934732472325,0.0902934732472325
"220",15,3,6,20,11,2015,0,0,0,0,22087,20027.25,-2059.75,-0.0932562140625707,0.0932562140625707
"221",16,4,2,23,11,2015,0,0,0,0,26363,26201.70703125,-161.29296875,-0.0061181568391306,0.0061181568391306
"223",21,5,2,30,11,2015,0,0,0,0,29741,25467.80078125,-4273.19921875,-0.143680414873407,0.143680414873407
"225",2,1,4,2,12,2015,0,0,0,0,40452,39157.578125,-1294.421875,-0.0319989586423415,0.0319989586423415
"228",5,2,2,7,12,2015,0,0,0,0,29393,31362.333984375,1969.333984375,0.0670001015335284,0.0670001015335284
"229",6,2,3,8,12,2015,0,0,0,0,37421,32286.82421875,-5134.17578125,-0.137200389654205,0.137200389654205
"231",8,2,5,10,12,2015,0,0,0,0,23475,23382.45703125,-92.54296875,-0.00394219249201278,0.00394219249201278
"234",11,3,3,15,12,2015,0,0,0,0,31866,28860.166015625,-3005.833984375,-0.0943273076123455,0.0943273076123455
"237",14,3,6,18,12,2015,0,0,0,0,21776,21820.525390625,44.525390625,0.00204470015728325,0.00204470015728325
"241",3,1,3,5,1,2016,0,0,0,0,37727,44226.60546875,6499.60546875,0.172279944568876,0.172279944568876
"243",5,1,5,7,1,2016,0,0,0,0,30408,29220.224609375,-1187.775390625,-0.0390612796180282,0.0390612796180282
"249",11,2,6,15,1,2016,0,0,0,0,22266,22280.798828125,14.798828125,0.000664637928905057,0.000664637928905057
"250",12,3,2,18,1,2016,0,0,0,0,26660,28309.201171875,1649.201171875,0.0618605090725806,0.0618605090725806
"263",5,1,6,5,2,2016,0,0,0,0,23241,23864.478515625,623.478515625,0.0268266647573254,0.0268266647573254
"264",6,2,2,8,2,2016,0,0,0,0,31439,30682.13671875,-756.86328125,-0.0240740252950157,0.0240740252950157
"265",7,2,3,9,2,2016,0,0,0,0,31139,32902.82421875,1763.82421875,0.0566435729711937,0.0566435729711937
"267",9,2,5,11,2,2016,0,0,0,0,25892,23044.52734375,-2847.47265625,-0.109974998310289,0.109974998310289
"273",15,3,6,19,2,2016,0,0,0,0,22601,20689.595703125,-1911.404296875,-0.0845716692568913,0.0845716692568913
"290",11,3,3,15,3,2016,0,0,0,0,33825,31473.603515625,-2351.396484375,-0.0695165257760532,0.0695165257760532
"293",14,3,6,18,3,2016,0,0,0,0,22567,22248.494140625,-318.505859375,-0.0141137882472194,0.0141137882472194
"296",17,4,4,23,3,2016,0,0,0,0,26058,27153.93359375,1095.93359375,0.0420574715538414,0.0420574715538414
"300",22,5,4,30,3,2016,0,0,0,0,27977,26810.49609375,-1166.50390625,-0.0416951033438181,0.0416951033438181
"304",3,1,3,5,4,2016,0,0,0,0,41322,40662.93359375,-659.06640625,-0.0159495282476647,0.0159495282476647
